,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_C,param_gamma,param_kernel,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.000,0.000,0.587,0.587,0.001,scale,rbf,"{'gamma': 'scale', 'kernel': 'rbf', 'C': 0.001}",7,0.591,0.585,0.571,0.595,0.600,0.581,0.000,0.000,0.012,0.006
1,0.000,0.000,0.587,0.587,0.001,auto,rbf,"{'gamma': 'auto', 'kernel': 'rbf', 'C': 0.001}",7,0.591,0.585,0.571,0.595,0.600,0.581,0.000,0.000,0.012,0.006
2,0.001,0.000,0.587,0.587,0.01,scale,rbf,"{'gamma': 'scale', 'kernel': 'rbf', 'C': 0.01}",7,0.591,0.585,0.571,0.595,0.600,0.581,0.000,0.000,0.012,0.006
3,0.000,0.000,0.587,0.587,0.01,auto,rbf,"{'gamma': 'auto', 'kernel': 'rbf', 'C': 0.01}",7,0.591,0.585,0.571,0.595,0.600,0.581,0.000,0.000,0.012,0.006
4,0.001,0.000,0.587,0.587,0.1,scale,rbf,"{'gamma': 'scale', 'kernel': 'rbf', 'C': 0.1}",7,0.591,0.585,0.571,0.595,0.600,0.581,0.000,0.000,0.012,0.006
5,0.000,0.000,0.587,0.587,0.1,auto,rbf,"{'gamma': 'auto', 'kernel': 'rbf', 'C': 0.1}",7,0.591,0.585,0.571,0.595,0.600,0.581,0.000,0.000,0.012,0.006
6,0.000,0.000,0.619,0.817,1,scale,rbf,"{'gamma': 'scale', 'kernel': 'rbf', 'C': 1}",5,0.727,0.805,0.619,0.786,0.500,0.860,0.000,0.000,0.093,0.032
7,0.001,0.000,0.619,0.825,1,auto,rbf,"{'gamma': 'auto', 'kernel': 'rbf', 'C': 1}",5,0.727,0.829,0.619,0.786,0.500,0.860,0.000,0.000,0.093,0.031
8,0.000,0.001,0.730,0.921,10,scale,rbf,"{'gamma': 'scale', 'kernel': 'rbf', 'C': 10}",1,0.727,0.927,0.810,0.905,0.650,0.930,0.000,0.000,0.064,0.011
9,0.000,0.000,0.730,0.921,10,auto,rbf,"{'gamma': 'auto', 'kernel': 'rbf', 'C': 10}",1,0.727,0.927,0.810,0.905,0.650,0.930,0.000,0.000,0.064,0.011
10,0.001,0.000,0.698,0.968,100,scale,rbf,"{'gamma': 'scale', 'kernel': 'rbf', 'C': 100}",3,0.727,0.976,0.714,0.952,0.650,0.977,0.000,0.000,0.033,0.011
11,0.000,0.000,0.683,0.968,100,auto,rbf,"{'gamma': 'auto', 'kernel': 'rbf', 'C': 100}",4,0.727,0.976,0.667,0.952,0.650,0.977,0.000,0.000,0.033,0.011
