,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_C,param_degree,param_gamma,param_kernel,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.001,0.000,0.587,0.587,0.001,2,scale,poly,"{'gamma': 'scale', 'degree': 2, 'kernel': 'poly', 'C': 0.001}",8,0.591,0.585,0.571,0.595,0.600,0.581,0.000,0.000,0.012,0.006
1,0.000,0.000,0.587,0.587,0.001,2,auto,poly,"{'gamma': 'auto', 'degree': 2, 'kernel': 'poly', 'C': 0.001}",8,0.591,0.585,0.571,0.595,0.600,0.581,0.000,0.000,0.012,0.006
2,0.001,0.000,0.587,0.587,0.001,3,scale,poly,"{'gamma': 'scale', 'degree': 3, 'kernel': 'poly', 'C': 0.001}",8,0.591,0.585,0.571,0.595,0.600,0.581,0.000,0.000,0.012,0.006
3,0.001,0.000,0.587,0.587,0.001,3,auto,poly,"{'gamma': 'auto', 'degree': 3, 'kernel': 'poly', 'C': 0.001}",8,0.591,0.585,0.571,0.595,0.600,0.581,0.000,0.000,0.012,0.006
4,0.000,0.000,0.587,0.587,0.001,4,scale,poly,"{'gamma': 'scale', 'degree': 4, 'kernel': 'poly', 'C': 0.001}",8,0.591,0.585,0.571,0.595,0.600,0.581,0.000,0.000,0.012,0.006
5,0.000,0.000,0.587,0.587,0.001,4,auto,poly,"{'gamma': 'auto', 'degree': 4, 'kernel': 'poly', 'C': 0.001}",8,0.591,0.585,0.571,0.595,0.600,0.581,0.000,0.000,0.012,0.006
6,0.001,0.000,0.587,0.587,0.001,5,scale,poly,"{'gamma': 'scale', 'degree': 5, 'kernel': 'poly', 'C': 0.001}",8,0.591,0.585,0.571,0.595,0.600,0.581,0.000,0.000,0.012,0.006
7,0.000,0.000,0.587,0.587,0.001,5,auto,poly,"{'gamma': 'auto', 'degree': 5, 'kernel': 'poly', 'C': 0.001}",8,0.591,0.585,0.571,0.595,0.600,0.581,0.000,0.000,0.012,0.006
8,0.000,0.001,0.587,0.587,0.01,2,scale,poly,"{'gamma': 'scale', 'degree': 2, 'kernel': 'poly', 'C': 0.01}",8,0.591,0.585,0.571,0.595,0.600,0.581,0.000,0.000,0.012,0.006
9,0.001,0.000,0.587,0.587,0.01,2,auto,poly,"{'gamma': 'auto', 'degree': 2, 'kernel': 'poly', 'C': 0.01}",8,0.591,0.585,0.571,0.595,0.600,0.581,0.000,0.000,0.012,0.006
10,0.000,0.000,0.587,0.587,0.01,3,scale,poly,"{'gamma': 'scale', 'degree': 3, 'kernel': 'poly', 'C': 0.01}",8,0.591,0.585,0.571,0.595,0.600,0.581,0.000,0.000,0.012,0.006
11,0.000,0.001,0.587,0.587,0.01,3,auto,poly,"{'gamma': 'auto', 'degree': 3, 'kernel': 'poly', 'C': 0.01}",8,0.591,0.585,0.571,0.595,0.600,0.581,0.000,0.000,0.012,0.006
12,0.001,0.000,0.587,0.587,0.01,4,scale,poly,"{'gamma': 'scale', 'degree': 4, 'kernel': 'poly', 'C': 0.01}",8,0.591,0.585,0.571,0.595,0.600,0.581,0.000,0.000,0.012,0.006
13,0.000,0.000,0.587,0.587,0.01,4,auto,poly,"{'gamma': 'auto', 'degree': 4, 'kernel': 'poly', 'C': 0.01}",8,0.591,0.585,0.571,0.595,0.600,0.581,0.000,0.000,0.012,0.006
14,0.001,0.000,0.587,0.587,0.01,5,scale,poly,"{'gamma': 'scale', 'degree': 5, 'kernel': 'poly', 'C': 0.01}",8,0.591,0.585,0.571,0.595,0.600,0.581,0.000,0.000,0.012,0.006
15,0.000,0.000,0.587,0.587,0.01,5,auto,poly,"{'gamma': 'auto', 'degree': 5, 'kernel': 'poly', 'C': 0.01}",8,0.591,0.585,0.571,0.595,0.600,0.581,0.000,0.000,0.012,0.006
16,0.000,0.000,0.587,0.587,0.1,2,scale,poly,"{'gamma': 'scale', 'degree': 2, 'kernel': 'poly', 'C': 0.1}",8,0.591,0.585,0.571,0.595,0.600,0.581,0.000,0.000,0.012,0.006
17,0.001,0.000,0.587,0.587,0.1,2,auto,poly,"{'gamma': 'auto', 'degree': 2, 'kernel': 'poly', 'C': 0.1}",8,0.591,0.585,0.571,0.595,0.600,0.581,0.000,0.000,0.012,0.006
18,0.001,0.000,0.587,0.587,0.1,3,scale,poly,"{'gamma': 'scale', 'degree': 3, 'kernel': 'poly', 'C': 0.1}",8,0.591,0.585,0.571,0.595,0.600,0.581,0.000,0.000,0.012,0.006
19,0.001,0.000,0.587,0.587,0.1,3,auto,poly,"{'gamma': 'auto', 'degree': 3, 'kernel': 'poly', 'C': 0.1}",8,0.591,0.585,0.571,0.595,0.600,0.581,0.000,0.000,0.012,0.006
20,0.000,0.000,0.587,0.603,0.1,4,scale,poly,"{'gamma': 'scale', 'degree': 4, 'kernel': 'poly', 'C': 0.1}",8,0.591,0.610,0.571,0.595,0.600,0.605,0.000,0.000,0.012,0.006
21,0.001,0.000,0.587,0.587,0.1,4,auto,poly,"{'gamma': 'auto', 'degree': 4, 'kernel': 'poly', 'C': 0.1}",8,0.591,0.585,0.571,0.595,0.600,0.581,0.000,0.000,0.012,0.006
22,0.000,0.000,0.587,0.619,0.1,5,scale,poly,"{'gamma': 'scale', 'degree': 5, 'kernel': 'poly', 'C': 0.1}",8,0.591,0.634,0.571,0.595,0.600,0.628,0.000,0.000,0.012,0.017
23,0.001,0.000,0.587,0.587,0.1,5,auto,poly,"{'gamma': 'auto', 'degree': 5, 'kernel': 'poly', 'C': 0.1}",8,0.591,0.585,0.571,0.595,0.600,0.581,0.000,0.000,0.012,0.006
24,0.000,0.000,0.587,0.778,1,2,scale,poly,"{'gamma': 'scale', 'degree': 2, 'kernel': 'poly', 'C': 1}",8,0.591,0.756,0.571,0.786,0.600,0.791,0.000,0.000,0.012,0.015
25,0.001,0.000,0.587,0.706,1,2,auto,poly,"{'gamma': 'auto', 'degree': 2, 'kernel': 'poly', 'C': 1}",8,0.591,0.707,0.571,0.690,0.600,0.721,0.000,0.000,0.012,0.012
26,0.000,0.000,0.587,0.722,1,3,scale,poly,"{'gamma': 'scale', 'degree': 3, 'kernel': 'poly', 'C': 1}",8,0.591,0.707,0.571,0.738,0.600,0.721,0.000,0.000,0.012,0.013
27,0.001,0.000,0.587,0.674,1,3,auto,poly,"{'gamma': 'auto', 'degree': 3, 'kernel': 'poly', 'C': 1}",8,0.591,0.683,0.571,0.643,0.600,0.698,0.000,0.000,0.012,0.023
28,0.000,0.000,0.587,0.714,1,4,scale,poly,"{'gamma': 'scale', 'degree': 4, 'kernel': 'poly', 'C': 1}",8,0.591,0.707,0.571,0.714,0.600,0.721,0.000,0.000,0.012,0.006
29,0.001,0.000,0.587,0.659,1,4,auto,poly,"{'gamma': 'auto', 'degree': 4, 'kernel': 'poly', 'C': 1}",8,0.591,0.659,0.571,0.643,0.600,0.674,0.000,0.000,0.012,0.013
30,0.000,0.001,0.587,0.714,1,5,scale,poly,"{'gamma': 'scale', 'degree': 5, 'kernel': 'poly', 'C': 1}",8,0.591,0.707,0.571,0.714,0.600,0.721,0.000,0.000,0.012,0.006
31,0.001,0.000,0.587,0.651,1,5,auto,poly,"{'gamma': 'auto', 'degree': 5, 'kernel': 'poly', 'C': 1}",8,0.591,0.659,0.571,0.619,0.600,0.674,0.000,0.000,0.012,0.023
32,0.000,0.000,0.556,0.992,10,2,scale,poly,"{'gamma': 'scale', 'degree': 2, 'kernel': 'poly', 'C': 10}",47,0.500,1.000,0.619,1.000,0.550,0.977,0.000,0.000,0.049,0.011
33,0.001,0.000,0.556,0.992,10,2,auto,poly,"{'gamma': 'auto', 'degree': 2, 'kernel': 'poly', 'C': 10}",47,0.500,1.000,0.619,1.000,0.550,0.977,0.000,0.000,0.049,0.011
34,0.000,0.000,0.587,0.976,10,3,scale,poly,"{'gamma': 'scale', 'degree': 3, 'kernel': 'poly', 'C': 10}",8,0.591,0.976,0.571,0.976,0.600,0.977,0.000,0.000,0.012,0.000
35,0.000,0.000,0.603,0.944,10,3,auto,poly,"{'gamma': 'auto', 'degree': 3, 'kernel': 'poly', 'C': 10}",3,0.636,0.951,0.571,0.905,0.600,0.977,0.000,0.000,0.027,0.030
36,0.001,0.000,0.587,0.936,10,4,scale,poly,"{'gamma': 'scale', 'degree': 4, 'kernel': 'poly', 'C': 10}",8,0.591,0.927,0.571,0.905,0.600,0.977,0.000,0.000,0.012,0.030
37,0.000,0.001,0.587,0.905,10,4,auto,poly,"{'gamma': 'auto', 'degree': 4, 'kernel': 'poly', 'C': 10}",8,0.591,0.927,0.571,0.857,0.600,0.930,0.000,0.000,0.012,0.034
38,0.001,0.000,0.587,0.905,10,5,scale,poly,"{'gamma': 'scale', 'degree': 5, 'kernel': 'poly', 'C': 10}",8,0.591,0.927,0.571,0.857,0.600,0.930,0.000,0.000,0.012,0.034
39,0.000,0.000,0.587,0.825,10,5,auto,poly,"{'gamma': 'auto', 'degree': 5, 'kernel': 'poly', 'C': 10}",8,0.591,0.829,0.571,0.786,0.600,0.860,0.000,0.000,0.012,0.031
40,0.000,0.000,0.603,1.000,100,2,scale,poly,"{'gamma': 'scale', 'degree': 2, 'kernel': 'poly', 'C': 100}",3,0.545,1.000,0.667,1.000,0.600,1.000,0.000,0.000,0.050,0.000
41,0.001,0.000,0.603,1.000,100,2,auto,poly,"{'gamma': 'auto', 'degree': 2, 'kernel': 'poly', 'C': 100}",3,0.545,1.000,0.667,1.000,0.600,1.000,0.000,0.000,0.050,0.000
42,0.001,0.000,0.619,1.000,100,3,scale,poly,"{'gamma': 'scale', 'degree': 3, 'kernel': 'poly', 'C': 100}",2,0.591,1.000,0.667,1.000,0.600,1.000,0.000,0.000,0.034,0.000
43,0.000,0.000,0.651,1.000,100,3,auto,poly,"{'gamma': 'auto', 'degree': 3, 'kernel': 'poly', 'C': 100}",1,0.682,1.000,0.667,1.000,0.600,1.000,0.000,0.000,0.035,0.000
44,0.000,0.000,0.603,0.984,100,4,scale,poly,"{'gamma': 'scale', 'degree': 4, 'kernel': 'poly', 'C': 100}",3,0.545,0.976,0.667,1.000,0.600,0.977,0.000,0.000,0.050,0.011
45,0.001,0.000,0.603,0.976,100,4,auto,poly,"{'gamma': 'auto', 'degree': 4, 'kernel': 'poly', 'C': 100}",3,0.591,0.976,0.619,0.976,0.600,0.977,0.000,0.000,0.012,0.000
46,0.000,0.000,0.571,0.968,100,5,scale,poly,"{'gamma': 'scale', 'degree': 5, 'kernel': 'poly', 'C': 100}",45,0.545,0.976,0.571,0.952,0.600,0.977,0.000,0.000,0.022,0.011
47,0.001,0.000,0.571,0.976,100,5,auto,poly,"{'gamma': 'auto', 'degree': 5, 'kernel': 'poly', 'C': 100}",45,0.591,0.951,0.524,1.000,0.600,0.977,0.000,0.000,0.034,0.020
